Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Type,Item_Identifier_DR,Item_Identifier_FD,Item_Identifier_NC,Item_Fat_Content_Low Fat,Item_Fat_Content_Regular,Outlet_Size_High,Outlet_Size_Medium,Outlet_Size_Small,Outlet_Location_Type_Tier 1,Outlet_Location_Type_Tier 2,Outlet_Location_Type_Tier 3,Item_Outlet_Sales
7.72,0.147904328,6,116.6466,0,23,0,0,1,0,0,1,0,0,1,0,0,1,0
19.75,0.014301326,9,103.0332,8,24,1,0,0,1,1,0,0,0,1,1,0,0,1
8.6,0.054220618,1,129.131,5,36,3,0,1,0,0,1,0,1,0,0,0,1,1
19.35,0.118342285,13,222.6088,7,19,1,0,1,0,1,0,0,0,1,0,1,0,1
18.35,0.092150005,5,184.8266,1,34,1,0,1,0,0,1,1,0,0,0,0,1,1
21.25,0.155694794,13,177.637,7,19,1,0,1,0,1,0,0,0,1,0,1,0,1
8.615,0.116152226,6,94.1436,1,34,1,0,1,0,1,0,1,0,0,0,0,1,1
8.8,0.071369947,13,209.1612,1,34,1,0,1,0,1,0,1,0,0,0,0,1,1
6.15,0.046262201,0,97.8384,6,17,1,0,1,0,1,0,0,0,1,0,1,0,1
12.1,0.11487406,0,221.4114,8,24,1,0,1,0,1,0,0,0,1,1,0,0,1
10.195,0.107307677,13,149.8076,1,34,1,0,1,0,1,0,1,0,0,0,0,1,1
10.1,0.030269774,8,152.4656,7,19,1,0,0,1,1,0,0,0,1,0,1,0,1
20.35,0.014813268,6,234.9958,1,34,1,0,1,0,0,1,1,0,0,0,0,1,1
10.5,0.048009081,7,157.0946,6,17,1,1,0,0,1,0,0,0,1,0,1,0,1
10.8,0.083016832,4,193.4504,2,14,1,0,1,0,1,0,0,0,1,0,1,0,1
16.25,0.057629899,6,123.9046,3,12,2,0,1,0,1,0,0,1,0,0,0,1,1
18.25,0.184041545,4,110.157,3,12,2,0,1,0,0,1,0,1,0,0,0,1,1
20.75,0.025272781,8,146.6734,2,14,1,0,0,1,1,0,0,0,1,0,1,0,0
14.85,0.032516546,3,188.8214,4,36,0,0,1,0,1,0,0,0,1,1,0,0,0
9.8,0.072863893,13,118.6098,6,17,1,0,1,0,0,1,0,0,1,0,1,0,0
15.35,0.015676231,11,144.047,8,24,1,0,0,1,1,0,0,0,1,1,0,0,0
10.3,0.058918844,6,191.653,9,22,1,0,1,0,0,1,0,1,0,1,0,0,1
17.35,0.02758789,3,86.1856,1,34,1,0,1,0,0,1,1,0,0,0,0,1,0
12.65,0.116203156,10,53.5324,0,23,0,0,1,0,1,0,0,0,1,0,0,1,0
7.725,0.029117482,9,123.0414,9,22,1,0,0,1,1,0,0,1,0,1,0,0,1
19.7,0.077899109,0,177.766,6,17,1,0,1,0,1,0,0,0,1,0,1,0,1
17.7,0.174340475,6,116.6834,6,17,1,0,1,0,1,0,0,0,1,0,1,0,1
8.71,0.120773451,3,186.5924,0,23,0,0,1,0,0,1,0,0,1,0,0,1,0
9,0.069088961,2,56.3614,8,24,1,0,1,0,0,1,0,0,1,1,0,0,1
10.5,0.052300844,5,88.283,5,36,3,0,1,0,1,0,0,1,0,0,0,1,1
16.1,0.023463124,14,190.6846,5,36,3,1,0,0,1,0,0,1,0,0,0,1,1
11.65,0.040744057,6,185.924,2,14,1,0,1,0,1,0,0,0,1,0,1,0,1
9.5,0.010864186,13,185.3608,5,36,3,0,1,0,0,1,0,1,0,0,0,1,1
18.6,0.012651172,9,123.1414,6,17,1,0,0,1,1,0,0,0,1,0,1,0,1
7.565,0.054863459,8,58.393,3,12,2,0,0,1,1,0,0,1,0,0,0,1,0
11.15,0.032229348,8,163.2526,1,34,1,0,0,1,1,0,1,0,0,0,0,1,1
20.2,0.096495426,10,175.6028,6,17,1,0,1,0,0,1,0,0,1,0,1,0,1
6.135,0.115500999,14,161.1236,3,12,2,1,0,0,1,0,0,1,0,0,0,1,0
8.905,0.143712172,5,60.2878,3,12,2,0,1,0,1,0,0,1,0,0,0,1,1
6.135,0.053930934,14,114.286,8,24,1,1,0,0,1,0,0,0,1,1,0,0,1
12.3,0.058234621,13,58.7562,7,19,1,0,1,0,0,1,0,0,1,0,1,0,0
16.5,0.160371305,13,143.9128,3,12,2,0,1,0,0,1,0,1,0,0,0,1,1
11,0.105324246,1,125.7046,5,36,3,0,1,0,1,0,0,1,0,0,0,1,1
19.2,0.053930934,3,153.3314,2,14,1,0,1,0,0,1,0,0,1,0,1,0,1
8.27,0.127927931,14,184.8924,8,24,1,1,0,0,0,1,0,0,1,1,0,0,1
12.35,0.038560279,6,109.857,9,22,1,0,1,0,0,1,0,1,0,1,0,0,1
11.8,0.076839735,13,34.9558,9,22,1,0,1,0,0,1,0,1,0,1,0,0,0
20.2,0.117339056,0,195.011,6,17,1,0,1,0,0,1,0,0,1,0,1,0,1
15.85,0.106971167,10,44.7744,4,36,0,0,1,0,0,1,0,0,1,1,0,0,0
17.85,0.110152524,5,150.205,0,23,0,0,1,0,1,0,0,0,1,0,0,1,0
5.785,0.053930934,6,87.3856,9,22,1,0,1,0,0,1,0,1,0,1,0,0,0
7.59,0.145631695,6,172.808,3,12,2,0,1,0,0,1,0,1,0,0,0,1,1
6.26,0.031470832,9,110.2228,9,22,1,0,0,1,1,0,0,1,0,1,0,0,1
9,0.032203667,9,100.8016,2,14,1,0,0,1,1,0,0,0,1,0,1,0,1
8.615,0.116722514,6,95.4436,3,12,2,0,1,0,1,0,0,1,0,0,0,1,0
16.7,0.053930934,15,63.6168,9,22,1,0,1,0,0,1,0,1,0,1,0,0,1
16,0.090480206,4,142.4154,2,14,1,0,1,0,1,0,0,0,1,0,1,0,1
11.395,0.009878459,8,47.6034,8,24,1,0,0,1,1,0,0,0,1,1,0,0,1
7.68,0.070556945,6,191.2162,5,36,3,0,1,0,1,0,0,1,0,0,0,1,1
16,0.053930934,9,210.4902,7,19,1,0,0,1,1,0,0,0,1,0,1,0,1
8.3,0.05046718,0,97.6384,0,23,0,0,1,0,0,1,0,0,1,0,0,1,0
10.5,0.041194986,6,39.1164,5,36,3,0,1,0,1,0,0,1,0,0,0,1,1
7.855,0.073562475,4,217.6482,5,36,3,0,1,0,0,1,0,1,0,0,0,1,1
